,user,tweet text,compound,positive,negative,neutral,tweets back
0,BBCWorld,John F Kennedy's lost 'last' speech recreated https://t.co/kDmfMyxpwz,-0.3182,0.0,0.277,0.723,1
1,BBCWorld,Tourists on an icebreaker ship witness Swiss pianist Gabriel Arnold play on the frozen surface of the northern Balt… https://t.co/Z5xbhSUvPN,0.34,0.112,0.0,0.888,2
2,BBCWorld,"Slovakia protests: 65,000 join Bratislava anti-government protests https://t.co/AIMrcRo5wj",-0.1531,0.2,0.345,0.455,3
3,BBCWorld,Swiss pianist gives concert on ice in northern Baltic Sea https://t.co/cHRt7xrvvg,0.0,0.0,0.0,1.0,4
4,BBCWorld,The women bringing animated adventures to life https://t.co/hR9PIoSGVy,0.34,0.255,0.0,0.745,5
5,BBCWorld,Brazil protests over slain politician Marielle Franco https://t.co/XetlAjyryM,-0.2263,0.0,0.213,0.787,6
6,BBCWorld,"Terrified skiers jump off an out-of-control ski lift in Georgia 

https://t.co/osapCeZhsx https://t.co/Dn71j0AR4X",-0.6124,0.0,0.267,0.733,7
7,BBCWorld,Trump has encouraged poachers - Botswana https://t.co/E0fPOjysTV,0.3612,0.333,0.0,0.667,8
8,BBCWorld,"Have smaller weddings with less food, Uzbeks told https://t.co/h8DCeSDasL",0.0,0.0,0.0,1.0,9
9,BBCWorld,Two convicted 'honour' killers to be deported from Canada https://t.co/4FzBv83hq5,-0.6486,0.0,0.323,0.677,10
10,BBCWorld,"RT @BBC_HaveYourSay: What if the voice of reason telling you your wedding is OTT is your president?
https://t.co/imWE37DUps",0.0,0.0,0.0,1.0,11
11,BBCWorld,US couple accused of hoax kidnap win $2.5m settlement https://t.co/sneoRJ4Y2C,0.128,0.252,0.285,0.464,12
12,BBCWorld,Israeli soldiers killed in West Bank car attack https://t.co/aywkvTItBz,-0.8225,0.0,0.521,0.479,13
13,BBCWorld,Florida bridge collapse: Hope fades for more survivors https://t.co/rvOzLppyo8,-0.0772,0.221,0.244,0.534,14
14,BBCWorld,"RT @BBC_HaveYourSay: 'Milking' investors - Man starts mobile game, earns millions, then skips to Uruguay https://t.co/yyYXK1z2sB",0.0,0.0,0.0,1.0,15
15,BBCWorld,RT @BBCBreaking: UK police launch murder investigation after death of Russian businessman Nikolai Glushkov in south-west London https://t.c…,-0.8625,0.0,0.35,0.65,16
16,BBCWorld,Skiers jump from speeding lift in Georgia https://t.co/XWZx2DiVGD,0.0,0.0,0.0,1.0,17
17,BBCWorld,RT @MarkUrban01: 2/2 that some of these plausible narratives are being largely ignored online speaks to the degree that alternatives put fo…,-0.3182,0.0,0.099,0.901,18
18,BBCWorld,RT @MarkUrban01: 1/2 Alternatives to 'Putin ordered Skripal nerve agent hit' include: rogue Russian spooks did it; someone stole the Novich…,0.0,0.0,0.0,1.0,19
19,BBCWorld,India singer Daler Mehndi convicted for smuggling migrants https://t.co/WNVBZPRnUI,-0.4767,0.0,0.279,0.721,20
20,BBCWorld,Irrfan Khan: Bollywood actor has rare tumour https://t.co/7oVNdImTSa,0.0,0.0,0.0,1.0,21
21,BBCWorld,"Virtual cash helps cyber-thieves launder money, research suggests https://t.co/6ljr56lqBX",0.3818,0.245,0.0,0.755,22
22,BBCWorld,Jacob Zuma: Former South African president faces corruption trial https://t.co/K36RCPbhlq,0.0,0.0,0.0,1.0,23
23,BBCWorld,"RT @BBCBreaking: Fraud charges against former South African President Jacob Zuma are reinstated, prosecutors say https://t.co/mAcbB3bhaX",-0.7096,0.0,0.296,0.704,24
24,BBCWorld,Anger over 'Blackface' makeup segment on Pakistan TV https://t.co/YUlFyHjIFW,-0.5719,0.0,0.316,0.684,25
25,BBCWorld,"RT @BBCNews: ""Overwhelmingly likely"" that Vladimir Putin was personally responsible for ordering nerve agent attack in UK - Foreign Secreta…",-0.3182,0.1,0.201,0.699,26
26,BBCWorld,"Horst Seehofer: Islam does not belong to Germany, says new minister https://t.co/iwjOVNXTU2",0.0,0.0,0.0,1.0,27
27,BBCWorld,"RT @BBCMonitoring: ⚡️ Row over Pakistan TV ""blackface"" by @BBCMonitoring

https://t.co/Nm8xl6p5vg",0.0,0.0,0.0,1.0,28
28,BBCWorld,South African taxi team offers free rides to struggling elderly https://t.co/AUtp4JYxeC,0.128,0.219,0.185,0.596,29
29,BBCWorld,Emirates air hostess dies after fall from plane in Uganda https://t.co/FcvRSrGp0K,0.0,0.0,0.0,1.0,30
30,BBCWorld,"RT @BBCBreaking: Ahmed Hassan, 18, is convicted of attempted murder over the Parsons Green Tube bombing in London in September https://t.co…",-0.6908,0.0,0.19,0.81,31
31,BBCWorld,"RT @BBC_HaveYourSay: Moscow denies involvement in the Salisbury poisoning incident, but what does Russia suggest happened?
https://t.co/m31…",-0.5106,0.0,0.223,0.777,32
32,BBCWorld,"RT @BBCSport: Full Champions League quarter-final draw:

Barcelona 🇪🇸 v Roma 🇮🇹
Sevilla 🇪🇸 v Bayern Munich 🇩🇪
Juventus 🇮🇹 v Real Madrid 🇪🇸…",0.5267,0.145,0.0,0.855,33
33,BBCWorld,"Row over Pakistan TV ""blackface"" https://t.co/JqMdHOxANA",0.0,0.0,0.0,1.0,34
34,BBCWorld,Banksy protest artwork unveiled in New York https://t.co/VD2XCiSdGv,-0.25,0.0,0.222,0.778,35
35,BBCWorld,Malaysian 'snake-handling celebrity' dies of cobra bite https://t.co/vI2aIYrZ8R,0.0,0.0,0.0,1.0,36
36,BBCWorld,Spy poisoning: Russia 'underestimates UK allies' - Nato https://t.co/TIPMJ4UBdr,-0.7096,0.0,0.496,0.504,37
37,BBCWorld,Russian spy: Conspiracy theories and denial in Russia https://t.co/Ni66150K39,-0.5267,0.0,0.298,0.702,38
38,BBCWorld,Mugabe's bare-knuckled challenge to Mnangagwa's legitimacy https://t.co/92RUuDrYWx,0.0772,0.178,0.0,0.822,39
39,BBCWorld,Syria war: Thousands flee twin offensives in Afrin and Ghouta https://t.co/5DaRpsLzc3,-0.6908,0.0,0.388,0.612,40
40,BBCWorld,Madrid protests: Street vendor's death sparks violent clashes https://t.co/oscsrNSU3i,-0.8658,0.0,0.618,0.382,41
41,BBCWorld,"RT @BBCNewsAsia: North Korea's foreign minister is in Sweden for a surprise visit, ahead of a possible meeting between US President Donald…",0.2732,0.1,0.0,0.9,42
42,BBCWorld,Besiktas charged by Uefa after cat wanders on to pitch during Bayern Munich game https://t.co/z6gFAv5Qye,-0.2023,0.0,0.114,0.886,43
43,BBCWorld,Nerve agent attacks: How Malaysia responded compared to the UK https://t.co/wLbJ3DZtod,-0.4404,0.0,0.225,0.775,44
44,BBCWorld,North Korean foreign minister in surprise trip to Sweden https://t.co/mbCiWzArz4,0.2732,0.189,0.0,0.811,45
45,BBCWorld,US aircraft crashes in western Iraq https://t.co/gqte7wrxLa,0.0,0.0,0.0,1.0,46
46,BBCWorld,RT @BBCNewsAsia: Officials in the Indian state of Uttarakhand have saved a wild elephant from drowning in the Ganges river 🐘 https://t.co/a…,0.4215,0.128,0.0,0.872,47
47,BBCWorld,US opioid crisis: Seattle's battle over safe injection plan https://t.co/FptmaNANfx,-0.5859,0.175,0.404,0.422,48
48,BBCWorld,Africa's week in pictures: 9-15 March 2018 https://t.co/XfKNyfhgAj,0.0,0.0,0.0,1.0,49
49,BBCWorld,"Quiz: The Finns are happy, but who is not? https://t.co/CWE6g7M6Pb",0.3291,0.207,0.0,0.793,50
50,BBCWorld,Rome's rubbish: The people trying to solve the problem https://t.co/VPoih4DI5x,-0.2263,0.144,0.216,0.64,51
51,BBCWorld,'You never get used to living like this' https://t.co/J1M7I50jUp,0.3612,0.238,0.0,0.762,52
52,BBCWorld,Keeping faith in Putin despite poverty https://t.co/OWeBgW2vJs,0.6707,0.524,0.0,0.476,53
53,BBCWorld,Vanessa Trump files for divorce from Donald Trump Jr - US media https://t.co/BuuFXBSJPn,0.0,0.0,0.0,1.0,54
54,BBCWorld,How I saw Stephen Hawking's death as a disabled person https://t.co/OLa3CTtLzO,-0.5994,0.0,0.328,0.672,55
55,BBCWorld,Zimbabwe's ousted Robert Mugabe: 'We must undo this disgrace' https://t.co/hKuECL3vmm,-0.5789,0.0,0.294,0.706,56
56,BBCWorld,Israel court suspends plan to deport African migrants https://t.co/91E3r1soqj,0.0,0.0,0.0,1.0,57
57,BBCWorld,"RT @BBCkatyaadler: Danish PM @larsloekke talks to me about #Brexit negotiations: “Even though I love Britain, I have to protect Danish busi…",0.7783,0.274,0.0,0.726,58
58,BBCWorld,Rihanna criticises Snapchat over abuse ad https://t.co/LriWYzYchv,-0.7579,0.0,0.565,0.435,59
59,BBCWorld,"RT @BBCSport: Tiger Woods continues his impressive form.

He's in contention after his first round at the Arnold Palmer Invitational in Flo…",0.5106,0.136,0.0,0.864,60
60,BBCWorld,Crown Prince warns Saudis will get nuclear bomb if Iran does https://t.co/RLbzmbbN4T,-0.5574,0.0,0.315,0.685,61
61,BBCWorld,Platypus milk: How it could combat superbugs https://t.co/9Ddg8Dzg4j,-0.34,0.0,0.255,0.745,62
62,BBCWorld,"""We have multiple victims."" Authorities in Miami say 8 vehicles have been trapped in the Florida bridge collapse an… https://t.co/s8V03q11u1",-0.765,0.0,0.28,0.72,63
63,BBCWorld,Slovakia or Slovenia? A handy guide https://t.co/g1Db9gfsCo,0.0,0.0,0.0,1.0,64
64,BBCWorld,Bad blood: The rise and fall of Theranos and Elizabeth Holmes https://t.co/Ly0sjiQ6jc,-0.5423,0.0,0.241,0.759,65
65,BBCWorld,How likely is it Russia poisoned ex-spy? https://t.co/UlVmUJb8Ij,-0.4939,0.0,0.314,0.686,66
66,BBCWorld,Pictures show collapsed pedestrian bridge at Florida International University in Miami that has resulted in several… https://t.co/Q2g3Fgcc3K,-0.2732,0.0,0.116,0.884,67
67,BBCWorld,Miami bridge: 'People trapped' after collapse at university https://t.co/UcW4LyNyvD,-0.765,0.0,0.485,0.515,68
68,BBCWorld,South Africa: Danish 'FGM' man gets life in jail https://t.co/1b07z79N5x,0.0,0.0,0.0,1.0,69
69,BBCWorld,Florida university bridge collapses 'leaving people trapped' https://t.co/4C7DN7oInR,-0.6808,0.0,0.483,0.517,70
70,BBCWorld,Trump 'admitted making up figures to Justin Trudeau' https://t.co/q6Tq5JlNgE,0.1027,0.149,0.0,0.851,71
71,BBCWorld,France seeks arrest of Saudi king's daughter https://t.co/cGX5YyRI9I,-0.34,0.0,0.255,0.745,72
72,BBCWorld,Trump says it 'looks like' Russia behind nerve agent attack https://t.co/G0XsFRn2et,-0.1531,0.171,0.212,0.616,73
73,BBCWorld,Slovakia journalist: Prime Minister Fico replaced amid scandal https://t.co/d6f13J6cqr,-0.4404,0.0,0.266,0.734,74
74,BBCWorld,Saudi Arabia pledges to create a nuclear bomb if Iran does https://t.co/kxQWeUqP8M,-0.2732,0.147,0.224,0.629,75
75,BBCWorld,"""These are truly wonderful people, we love them"" - US President Donald Trump welcomes Irish PM Leo Varadkar to the… https://t.co/emZh3dLVHa",0.926,0.458,0.0,0.542,76
76,BBCWorld,"""It certainly looks like the Russians were behind it... we're taking it very seriously"" - US President Donald Trump… https://t.co/hQgFwiq6BH",0.4417,0.214,0.087,0.699,77
77,BBCWorld,"RT @BBCJonSopel: .@realDonaldTrump comments on #SalisburyChemicalAttack and says ""looks like the Russians were behind it. Something that sh…",0.3612,0.128,0.0,0.872,78
78,BBCWorld,RT @BBCBreaking: US places sanctions on Russians accused of meddling in the 2016 presidential election https://t.co/0B7WVKRmf0,-0.296,0.0,0.128,0.872,79
79,BBCWorld,Mariam Moustafa: Egyptian teen's Nottingham death sparks anger https://t.co/gSbOYqc4mN,-0.8225,0.0,0.521,0.479,80
80,BBCWorld,US imposes sanctions on 19 Russians https://t.co/b6JQJxaOay,-0.1027,0.0,0.189,0.811,81
81,BBCWorld,Kenyan nurse handed brain surgeon the wrong patient https://t.co/cKI6RehsTo,-0.4767,0.0,0.279,0.721,82
82,BBCWorld,Marmite maker to move to Netherlands https://t.co/fKe0wL37g1,0.0,0.0,0.0,1.0,83
83,BBCWorld,Russian aeroplane loses gold-silver bars on take-off https://t.co/NKS9ek1YKE,-0.3182,0.0,0.247,0.753,84
84,BBCWorld,Oklahoma mother will go to jail for marrying her daughter https://t.co/piSYepFblv,0.0,0.0,0.0,1.0,85
85,BBCWorld,"Don't ""Let It Go"" - 'Elsa' from Frozen rescues Boston police van stuck in snow ❄️

https://t.co/reJZ5yUVAg https://t.co/GdsYLbfW5o",0.0772,0.119,0.104,0.777,86
86,BBCWorld,"RT @BBCBreaking: Ex-spy poisoning first offensive use of nerve agent in Europe since World War II - UK, US, France and Germany say https://…",-0.8934,0.0,0.349,0.651,87
87,BBCWorld,Allies condemn chemical attack on ex-spy https://t.co/hBtlZtW9D1,-0.6908,0.0,0.533,0.467,88
88,BBCWorld,'Elsa' from Frozen rescues police van https://t.co/HDNKRDyuPz,0.3182,0.277,0.0,0.723,89
89,BBCWorld,Uzbek transport police banned from hiding behind trees https://t.co/H8lLQfihFd,-0.6369,0.0,0.426,0.574,90
90,BBCWorld,Charleston church gunman Dylann Roof's sister in knife arrest https://t.co/3z6twpnuBh,-0.34,0.0,0.211,0.789,91
91,BBCWorld,RT @BBCNewsGraphics: Why is there a war in Syria? https://t.co/CMQOdjQNzr Find out how a peaceful uprising against the president of Syria t…,-0.1779,0.127,0.155,0.717,92
92,BBCWorld,Syria war: Thousands flee Eastern Ghouta as army advances https://t.co/uHWOABTovg,-0.5994,0.0,0.302,0.698,93
93,BBCWorld,Pope Francis: Vatican doctors letter from former Pope Benedict https://t.co/uP1XljHH98,0.0,0.0,0.0,1.0,94
94,BBCWorld,"RT @BBCNews: ""Frankly Russia should go away, it should shut up"" - UK Defence Secretary Gavin Williamson asked about Russia's response to it…",0.1027,0.062,0.0,0.938,95
95,BBCWorld,Rio city councillor Franco killed in drive-by shooting https://t.co/VZevOGVffw,-0.6705,0.0,0.36,0.64,96
96,BBCWorld,Happiness report: Finland is world's 'happiest country' - UN https://t.co/SuMAScSJip,0.8316,0.527,0.0,0.473,97
97,BBCWorld,Irish PM Varadkar set to meet US President Trump https://t.co/9ADcWqY2zm,0.0,0.0,0.0,1.0,98
98,BBCWorld,"RT @BBCNews: UK will invest £48m in new chemical weapons defence centre, to maintain UK's ""cutting edge"" in the field, Defence Secretary Ga…",-0.3818,0.107,0.168,0.725,99
99,BBCWorld,"RT @BBCNews: ""The Kremlin is ripping up the international rule book,"" says UK Defence Secretary Gavin Williamson, undermining countries aro…",-0.2732,0.064,0.114,0.822,100
0,CNN,"President Trump may complain about American cars being locked out of the Japanese auto market but, experts say, tha… https://t.co/nKh61JtANx",-0.1901,0.0,0.084,0.916,1
1,CNN,RT @CNNSitRoom: Democratic Rep. Garamendi: “This Presidency is a very serious security threat to the United States” https://t.co/CAUNIM0XaP…,0.0571,0.231,0.221,0.548,2
2,CNN,The US pushes for changes to the Iran deal as President Trump signals a tougher stance https://t.co/jlDYogbzrB https://t.co/7CFLPIEX4u,0.1779,0.096,0.0,0.904,3
3,CNN,Tariff tutorial: what the 45th US President could learn from the 25th | By John Kirby via @CNNOpinion… https://t.co/AxnKAghXzB,0.0,0.0,0.0,1.0,4
4,CNN,"The Academy of Motion Pictures Arts and Sciences, the group behind on the Oscars, is investigating allegations of s… https://t.co/Yn0zVaop0N",0.0,0.0,0.0,1.0,5
5,CNN,Thousands of people gathered in Slovakia's capital city to protest against the government and pay tribute to murder… https://t.co/TphLFTABVH,-0.34,0.0,0.167,0.833,6
6,CNN,"Education Secretary Betsy DeVos and Washington Sen. Patty Murray, the top Democrat on the Senate's education panel,… https://t.co/greo94ZBXD",0.2023,0.096,0.0,0.904,7
7,CNN,New satellite imagery examined by Western experts suggests North Korea has begun preliminary testing of one of its… https://t.co/JawfIsT74b,0.0,0.0,0.0,1.0,8
8,CNN,"Though HIV rates across the US are stable, at least two spots -- Beaver County, Pennsylvania, and Milwaukee -- show… https://t.co/IchWshO1bN",0.296,0.099,0.0,0.901,9
9,CNN,White House press secretary Sarah Sanders wouldn't say whether Russian President Vladimir Putin was a friend or a f… https://t.co/XTBp5HzcwX,0.4939,0.158,0.0,0.842,10
10,CNN,"The White House is gearing up for a bruising fight over the nomination of President Trump's pick to head the CIA, G… https://t.co/dTREDYchTR",-0.3818,0.0,0.11,0.89,11
11,CNN,"The Vatican has removed Archbishop Anthony Apuron of Guam from office.

A news release did not specify exactly what… https://t.co/9VrEgLAj8P",0.0,0.0,0.0,1.0,12
12,CNN,"""I guess it never really occurred to me that I wouldn't always get to have that old-fashioned toy store experience… https://t.co/Q1PvzzJDPO",0.0,0.0,0.0,1.0,13
13,CNN,"A pro-Trump group has hired Carl Higbie, who shared an N-Word laden post written by someone else on Facebook in 201… https://t.co/KXnx2TqAZe",0.34,0.107,0.0,0.893,14
14,CNN,"Saudi Arabia will develop nuclear weapons if Iran does the same, said Crown Prince Mohammed bin Salman, Saudi's def… https://t.co/MLHmQAELbx",-0.4404,0.0,0.132,0.868,15
15,CNN,"On Saturday, 1.7 million South Australians will vote in what many are describing as the most exciting electoral rac… https://t.co/LvVsumtxAW",0.5413,0.155,0.0,0.845,16
16,CNN,"""Is there anything in the litany of accusations -- you would call them facts -- that surround this case that happen… https://t.co/LL9FHkK0iI",-0.3182,0.0,0.099,0.901,17
17,CNN,.@jaketapper: Can we pause and consider the notion that — as the country waits in suspense to see who President Tru… https://t.co/O1gHTQ9PEv,0.0,0.0,0.0,1.0,18
18,CNN,"RT @TheLeadCNN: ""Is there anything in the litany of accusations -- you would call them facts -- that surround this case that happened while…",-0.3182,0.0,0.091,0.909,19
19,CNN,"Tapper: You say your client, Stormy Daniels, felt “physically threatened” to stay silent about what she knew about… https://t.co/eAj46BO7cx",0.0,0.0,0.0,1.0,20
20,CNN,Lyft tests a $199 monthly subscription plan for rides https://t.co/BEk43Na2Ve https://t.co/EsZqc4qTQW,0.0,0.0,0.0,1.0,21
21,CNN,RT @CNNPolitics: Attorney Michael Avenatti says his client Stormy Daniels will reveal details about her claim that she was physically threa…,0.0,0.0,0.0,1.0,22
22,CNN,"As rumors of yet another staff shakeup loom over the White House, chief of staff John Kelly and White House officia… https://t.co/E6RIeBLZxf",-0.3612,0.0,0.149,0.851,23
23,CNN,Two US representatives have introduced a bill that would put quarters featuring prominent women from American histo… https://t.co/9F3bJ9Dm0s,0.3182,0.126,0.0,0.874,24
24,CNN,RT @TheLeadCNN: .@jaketapper: Can we pause and consider the notion that — as the country waits in suspense to see who President Trump will…,0.0,0.0,0.0,1.0,25
25,CNN,"Secretary of State Rex Tillerson thanked agency staff and called his service at the State Department ""one of the gr… https://t.co/hYYJ0uqOuM",0.4404,0.127,0.0,0.873,26
26,CNN,"Following a New York helicopter crash in which five passengers died, the FAA has ordered no more ""doors-off"" aircra… https://t.co/ktg6BfwbHq",-0.8176,0.0,0.347,0.653,27
27,CNN,President Trump's staffing upheavals come in spurts | Analysis by CNN's Sam Petulla https://t.co/7pjZKe1H6F https://t.co/knFbMFqr8v,0.0,0.0,0.0,1.0,28
28,CNN,"The US government has accused Russia of remotely targeting the US power grid, as part of its newly unveiled sanctio… https://t.co/7yE2m1r4Vp",-0.296,0.0,0.099,0.901,29
29,CNN,Facebook has apologized after its autocomplete search feature suggested video titles that described child abuse… https://t.co/EgQJDGvKjT,0.3182,0.133,0.0,0.867,30
30,CNN,National Geographic has more work to do on race | By Kerra Bolton via @CNNOpinion https://t.co/9CNskmP6J1 https://t.co/dYUfPJVHNa,0.0,0.0,0.0,1.0,31
31,CNN,This officer missed the Florida bridge collapse by seconds as she stopped at a red light. When she realized what ha… https://t.co/Hulr6hhwUI,-0.743,0.0,0.289,0.711,32
32,CNN,Wells Fargo's CEO got a 36% raise after one of the darkest years in the bank's history https://t.co/iTLDmdcbFr https://t.co/3Dwu5O2BTD,-0.296,0.094,0.151,0.755,33
33,CNN,Sean Hannity jabs Shep Smith in a sign of the divide between Fox News' opinion programming and the news division… https://t.co/H6nhnEquf4,0.0,0.0,0.0,1.0,34
34,CNN,"On school safety, inaction is not an option, says @BetsyDeVos; Even those who have disagreed in the past must now w… https://t.co/fhLHsSDoiL",-0.128,0.107,0.165,0.728,35
35,CNN,Nearly two-thirds of Americans are concerned they can no longer distinguish fake news from quality journalism online https://t.co/QNP3dU1FPo,-0.6486,0.0,0.249,0.751,36
36,CNN,RT @CNNPolitics: Sanders declines to get into details of US preparation for a meeting with North Korean leader Kim Jong Un: “We’re continui…,0.0,0.0,0.0,1.0,37
37,CNN,A custodian at a school in South Carolina stole $180 from students' book bags while they participated in the Nation… https://t.co/dAXFL649tc,0.0,0.0,0.0,1.0,38
